case,condition,box_iou_H0,abs_delta_dice
2401,H1,0.9343715239154616,0.057571015342958776
2406,H1,0.9787234042553192,0.0003121411669302354
2423,H1,1.0,0.0
2424,H1,0.9591836734693876,0.011781101014811002
2430,H1,0.9140096618357488,0.004397061675623037
2442,H1,0.9531772575250836,0.0031494567781515936
2459,H1,0.9848484848484848,0.0024171722198387258
246,H1,1.0,0.0
2472,H1,0.975609756097561,0.0004914359869953033
2474,H1,0.9543230016313212,0.0014873168734972353
2486,H1,0.9328042328042327,0.009981519486995993
2489,H1,0.5971826527382083,0.0796827707883524
25,H1,0.9791666666666666,0.0008831640281518061
2503,H1,0.975,0.03596358381436082
2504,H1,0.9072426937738246,0.055245389552844304
2511,H1,0.8637037037037038,0.12692955276364448
2520,H1,0.9382716049382716,0.005072497484519434
2522,H1,0.9777777777777776,3.443332325481219e-05
2523,H1,1.0,0.0
2532,H1,0.816,0.0560342886800268
2533,H1,0.9395050412465628,0.00789714000531938
2537,H1,0.9244314013206164,0.02504464812706353
2542,H1,0.9610983981693364,3.392324063355989e-05
2545,H1,0.9444444444444444,0.0007343112659212725
2555,H1,0.9607843137254902,0.0
2556,H1,0.9552845528455284,0.004587463134396841
2557,H1,0.9579606440071556,0.001193532559930599
256,H1,0.9473684210526316,3.052734389241696e-05
2565,H1,0.9761904761904762,0.0031917603147585405
2575,H1,1.0,0.0
2577,H1,0.9772727272727272,0.001220015271647612
2581,H1,0.9510086455331412,0.027162688171505578
2582,H1,0.98,0.007426803652315628
2589,H1,0.9767441860465116,0.0974328443169245
2590,H1,1.0,0.0
2591,H1,0.9629629629629628,0.04951877240298608
2592,H1,1.0,0.0
2593,H1,0.9544468546637744,0.0027577430614091902
2594,H1,1.0,0.0
2602,H1,1.0,0.0
2605,H1,0.9,0.007666430535909319
2608,H1,1.0,0.0
2609,H1,0.9642857142857144,0.00728330008497069
262,H1,1.0,0.0
2623,H1,1.0,0.0
263,H1,0.8908432488360062,0.0018204930589887924
2656,H1,0.9583333333333334,0.008562401400650343
2660,H1,1.0,0.0
2680,H1,1.0,0.0
2685,H1,0.96875,0.0
2701,H1,0.9491525423728814,0.0003155183251235538
2703,H1,0.9217054263565893,0.019287685628085582
2705,H1,0.9544008483563096,0.010528739897112449
2706,H1,0.9782608695652174,0.0021871744244951197
2716,H1,0.9071911493546404,0.03872825204457164
2720,H1,0.7261904761904762,0.01967123356919731
2721,H1,0.95,0.003569756659630996
2723,H1,1.0,0.0
2740,H1,1.0,0.0
2752,H1,0.9344444444444444,0.04550311598241774
2754,H1,1.0,0.0
2766,H1,0.9777777777777776,0.009768004559273846
2768,H1,0.9261802575107296,0.0025011252549971275
2771,H1,1.0,0.0
2781,H1,0.9550387596899224,0.01891074945335325
2782,H1,0.9772727272727272,0.0003238519748089974
2784,H1,0.9519230769230768,0.2244215221633677
2787,H1,0.9807692307692308,0.009258251932282802
2794,H1,1.0,0.0
28,H1,1.0,0.0
2801,H1,1.0,0.0
2807,H1,0.9531163816878102,0.0006607704734381548
2810,H1,1.0,0.0
2816,H1,0.8258928571428571,0.0
2825,H1,0.9666666666666668,0.0
2827,H1,1.0,0.0
2835,H1,1.0,0.0
284,H1,1.0,0.0
2846,H1,0.96875,0.0009640077389178048
2866,H1,0.9121367521367522,0.0060335114426141034
2871,H1,0.9777777777777776,0.001285184967904418
2875,H1,1.0,0.0
2877,H1,1.0,0.0
2878,H1,0.936613055818354,8.156149748339558e-05
2882,H1,0.7989130434782609,0.11000809129209554
2883,H1,0.979591836734694,0.0007014873769154439
2884,H1,0.907258064516129,0.0031163844680449637
2885,H1,0.9204545454545454,0.07512040497899442
2886,H1,0.9836065573770492,0.006245034643513003
2891,H1,0.9696969696969696,0.00011617067706315432
2895,H1,1.0,0.0
2897,H1,0.9384404924760602,0.00019088997676119934
2898,H1,0.9565217391304348,0.0007139145052579288
2910,H1,0.9672131147540984,0.0
2912,H1,0.9833333333333332,5.078377815825874e-05
2916,H1,1.0,0.0
2920,H1,0.961552818215752,0.03408833723850602
2924,H1,0.91581868640148,0.029165001428364867
2927,H1,0.9736842105263158,0.00129160072880119
2933,H1,1.0,0.0
2940,H1,0.8976063829787234,0.0050749333138842
2941,H1,0.9757638072855463,0.0005160611144948701
2943,H1,0.979591836734694,0.0005557941254238363
2947,H1,0.9743589743589745,0.009382501800105358
2951,H1,1.0,0.0
2955,H1,0.8918918918918919,0.003919586229124028
2957,H1,0.9337779895188184,0.02108467583728102
2958,H1,1.0,0.0
2959,H1,1.0,0.0
296,H1,0.9005847953216374,0.1385260746404966
2961,H1,0.9772727272727272,0.0016831710074693973
2968,H1,0.9014799154334038,0.0006410057934238544
2969,H1,0.8928571428571429,0.026428120430679214
2977,H1,1.0,0.0
2978,H1,0.972972972972973,0.001353633131883969
2979,H1,1.0,0.0
2980,H1,0.9655172413793104,0.00012602372621839386
2981,H1,0.967741935483871,0.000396444893753789
2982,H1,0.9333333333333332,0.9040152963671128
2984,H1,0.96875,0.001944215308347652
2990,H1,0.9534883720930232,0.002576376641668543
2991,H1,0.9411764705882352,0.00016274268890803523
3001,H1,1.0,0.0
3008,H1,0.9830508474576272,0.00014325151273919534
3015,H1,0.9160493827160494,2.155162387762477e-05
3016,H1,0.9015501767745444,0.012599608933465567
3018,H1,0.9333333333333332,0.003635305070544881
3021,H1,1.0,0.0
3031,H1,0.9418758256274768,0.04261967364198832
3039,H1,0.0,0.7478684531059683
304,H1,0.9636363636363636,0.011074388356937637
3045,H1,0.9399644760213144,0.0008384942792265537
3046,H1,0.5461672473867596,0.09958005441303186
3047,H1,0.9402843601895736,0.0006642953844083754
3051,H1,1.0,0.0
3056,H1,0.832983193277311,0.005170524351292283
3063,H1,0.95,0.002138521979097918
311,H1,1.0,0.0
32,H1,0.979591836734694,0.008039521535547878
321,H1,0.8651026392961877,0.009624138791713421
323,H1,0.941991341991342,0.00011937296750808013
324,H1,0.9035202086049544,0.2667827240865225
332,H1,0.9215686274509804,0.0
333,H1,1.0,0.0
350,H1,0.9761904761904762,0.0005151742225553146
351,H1,0.9736842105263158,0.0004600874166091895
354,H1,0.9838709677419356,0.0021585922717006767
404,H1,0.960691823899371,0.00043401698657363763
41,H1,1.0,0.0
415,H1,0.984126984126984,0.0023038634589330753
429,H1,0.9609375,0.00017270283630621552
442,H1,0.9782608695652174,0.0001173894622519267
443,H1,0.990990990990991,0.001037174384545203
445,H1,1.0,0.0
452,H1,0.5543836519446276,0.02402260320714411
457,H1,0.9682539682539684,0.4717733831301947
472,H1,0.9412280701754386,2.9913051608043695e-05
473,H1,1.0,0.0
475,H1,0.975,3.8281312246035704e-05
482,H1,0.9432565789473684,0.014126578323856886
483,H1,1.0,0.0
484,H1,1.0,0.0
486,H1,1.0,0.0
494,H1,1.0,0.0
500,H1,1.0,0.0
506,H1,0.9545454545454546,0.0037071438643312415
507,H1,0.9879518072289156,3.7870256851535444e-06
518,H1,0.9318181818181818,0.0009944423180591189
519,H1,1.0,0.0
543,H1,0.8955223880597015,0.0007943993758333656
55,H1,0.9117647058823528,0.09451838103068244
550,H1,1.0,0.0
551,H1,1.0,0.0
558,H1,0.9772727272727272,0.0002645049694464108
56,H1,1.0,0.0
