filename,dice,iou,gt_pixels,pred_pixels
1629.png,0.8899150350942002,0.8016638935108154,2460,2954
1630.png,0.9196296793237623,0.851217088922007,3457,3996
1644.png,0.9088669950738916,0.8329571106094809,1906,2154
1645.png,0.8911968348170128,0.8037466547725245,1802,2242
1646.png,0.9032536091359621,0.8235756385068762,2212,2429
1647.png,0.0,0.0,2380,2542
1648.png,0.9502601456815817,0.9052339413164155,2300,2505
1656.png,0.8294153104279687,0.7085478887744593,737,922
1657.png,0.7492103600758054,0.598989898989899,610,973
1665.png,0.831858407079646,0.7121212121212122,769,926
1666.png,0.845404489623041,0.7322083639031548,1007,1354
167.png,0.9539396315170522,0.9119355443132846,5178,5026
1678.png,0.9335295560461123,0.875344986200552,1996,2081
1684.png,0.4897400820793434,0.3242753623188406,1254,3863
1685.png,0.7910739191073919,0.6543608675588372,2852,4318
1686.png,0.9306470360325455,0.8702898550724638,3894,3849
1689.png,0.0,0.0,2678,6239
169.png,0.9460021632415342,0.8975371013577518,6109,5910
1696.png,0.8876854250058865,0.7980524978831499,2267,1980
1706.png,0.5860326894502229,0.4144598570828079,2188,1177
1715.png,0.8936049801924165,0.8076726342710997,1599,1935
1716.png,0.8647628038706632,0.7617463617463618,1833,2404
1718.png,0.7469276285844333,0.596077006901562,2599,1795
1727.png,0.6863124773084835,0.522432058959005,10496,6030
1728.png,0.748988492459671,0.5987063172043011,11550,7481
1729.png,0.839273640490679,0.7230589997503537,11684,9022
1730.png,0.959417273673257,0.922,10912,11191
1734.png,0.9084385763490241,0.8322377070733631,3209,3759
1735.png,0.9324144601620118,0.8733861834654587,3952,4319
1736.png,0.9302725263933219,0.8696350700022951,3791,4355
174.png,0.9290728129910948,0.8675405987086676,5037,4508
1740.png,0.8651631477927063,0.7623678646934461,1831,2337
1744.png,0.7715231788079471,0.628032345013477,1165,1855
1746.png,0.8178856973645248,0.6918837675350702,1393,1984
1752.png,0.856637168141593,0.7492260061919505,1050,1210
1769.png,0.9407601572739187,0.8881464983914873,3805,3825
1771.png,0.940599173553719,0.8878595806923452,1870,2002
1773.png,0.9113695090439277,0.8371706622359364,4138,3602
1774.png,0.8423065607531627,0.7275730622617534,2900,3898
1776.png,0.0006419858763107211,0.00032109600770630417,4789,4557
1789.png,0.7620660457239627,0.615595075239398,482,699
1796.png,0.7714766984839978,0.6279707495429616,2006,1556
1798.png,0.8825286212045794,0.7897550111358574,1783,2235
1807.png,0.667563025210084,0.5010090817356205,1836,1139
1816.png,0.9067688378033205,0.8294392523364486,1825,2090
1824.png,0.8806846452383321,0.7868065433854907,4495,5554
1825.png,0.7160098259104988,0.5576443187489603,5851,3512
1826.png,0.9407205870228378,0.8880759651307597,5971,6158
1827.png,0.9648983481575604,0.9321773822310879,6397,6195
1829.png,0.7000970559689421,0.538576406172225,3866,2316
183.png,0.9485949280328992,0.9022164276401564,2997,2839
1834.png,0.9270833333333334,0.8640776699029126,2772,3180
1835.png,0.31101272827891535,0.18414154652686762,2216,1398
1843.png,0.8,0.6666666666666666,1677,1133
1847.png,0.7135434707308624,0.5546580506192784,3714,2060
1852.png,0.8662674650698603,0.7640845070422535,810,693
1853.png,0.0,0.0,4631,3538
1858.png,0.7440420088864952,0.592409948542024,13874,8407
1863.png,0.673617780216765,0.5078609846917667,4765,2524
1869.png,0.49197230814552956,0.3262355928892362,1987,4802
1879.png,0.7271528998242531,0.5712806351397998,2843,1709
1880.png,0.8836973082783138,0.7916287534121929,1073,896
1882.png,0.6475998850244323,0.47885228480340064,2366,4592
1886.png,0.55546875,0.38453217955651703,765,1795
1890.png,0.46668042087889416,0.3043595263724435,9115,29661
1894.png,0.0,0.0,2931,516
1900.png,0.5982591639082996,0.4267972712961343,4144,4013
1901.png,0.9160662487133902,0.8451312154696132,5676,5011
1902.png,0.6979189809671925,0.536002730064839,8790,4713
1910.png,0.9100709219858156,0.8349817803227486,1901,1624
1911.png,0.8967813540510544,0.8128772635814889,942,860
1917.png,0.820066889632107,0.6950113378684807,6827,5133
1933.png,0.5503399868392191,0.37963383265244366,5731,12505
1941.png,0.7234913058302079,0.5667735042735043,9349,5316
1949.png,0.9169553096223705,0.8466458658346334,5589,6248
1950.png,0.82,0.6949152542372882,1084,1316
1951.png,0.9541899441340782,0.9123931623931624,2723,2647
1955.png,0.8514851485148515,0.7413793103448276,3061,2696
1957.png,0.8832915732559673,0.7909777987718469,4038,3545
1978.png,0.5297626938883734,0.36032461677186656,6302,8784
198.png,0.8829536527886881,0.790436005625879,2398,2694
1981.png,0.8936908517350157,0.8078129455374964,3149,3191
1984.png,0.8700343305541932,0.7699652777777778,1001,1038
