filename,a,b,same_text,abs_dice,box_iou
1054.png,H0,H2,False,0.0005220993150506503,0.9443636363636364
1054.png,H1,H2,False,0.0026171252544460177,0.961108971890643
1057.png,H0,H1,False,0.24059292755445272,0.918918918918919
1057.png,H0,H2,False,0.05089729379398655,0.9714285714285714
1057.png,H1,H2,False,0.18969563376046616,0.9444444444444444
1060.png,H0,H1,False,0.0,1.0
1060.png,H0,H2,False,0.0,1.0
1060.png,H1,H2,True,0.0,1.0
1061.png,H0,H1,False,0.006571730879369464,0.9655172413793104
1061.png,H0,H2,False,0.006571730879369464,0.9655172413793104
1061.png,H1,H2,False,0.0,1.0
1069.png,H0,H1,False,0.002366143828510636,0.9836065573770492
1069.png,H0,H2,False,0.002366143828510636,0.9836065573770492
1069.png,H1,H2,True,0.0,1.0
1072.png,H0,H1,False,0.0,1.0
1072.png,H0,H2,False,0.0005830734711758656,0.9333333333333333
1072.png,H1,H2,False,0.0005830734711758656,0.9333333333333333
1073.png,H0,H1,False,0.0006276839367178599,0.9767441860465116
1073.png,H0,H2,False,0.0006276839367178599,0.9767441860465116
1073.png,H1,H2,True,0.0,1.0
1074.png,H0,H1,False,0.0,1.0
1074.png,H0,H2,False,0.00422584569547102,0.821353065539112
1074.png,H1,H2,False,0.00422584569547102,0.821353065539112
1078.png,H0,H1,False,0.0,1.0
1078.png,H0,H2,False,0.0,1.0
1078.png,H1,H2,True,0.0,1.0
108.png,H0,H1,False,0.017652840564582384,0.9208981001727116
108.png,H0,H2,False,0.017652840564582384,0.9208981001727116
108.png,H1,H2,True,0.0,1.0
1084.png,H0,H1,False,0.0,1.0
1084.png,H0,H2,False,0.007800804888702287,0.9655172413793104
1084.png,H1,H2,False,0.007800804888702287,0.9655172413793104
1085.png,H0,H1,False,0.14934735761971174,0.9772727272727273
1085.png,H0,H2,False,0.28778457260818624,0.9555555555555556
1085.png,H1,H2,False,0.1384372149884745,0.9777777777777777
1089.png,H0,H1,False,0.0,1.0
1089.png,H0,H2,False,0.0,1.0
1089.png,H1,H2,True,0.0,1.0
1092.png,H0,H1,False,0.0003021624933998712,0.9560276679841897
1092.png,H0,H2,False,0.0003021624933998712,0.9560276679841897
1092.png,H1,H2,True,0.0,1.0
1093.png,H0,H1,False,0.000650524724722823,0.8806306306306306
1093.png,H0,H2,False,0.0010438470468647765,0.8547297297297297
1093.png,H1,H2,False,0.0003933223221419535,0.9705882352941176
1096.png,H0,H1,False,0.006309104518423814,0.8027681660899654
1096.png,H0,H2,False,0.0007167875638125487,0.8823529411764706
1096.png,H1,H2,False,0.007025892082236362,0.9098039215686274
1103.png,H0,H1,False,0.018035912500294904,0.9418702611625948
1103.png,H0,H2,False,0.018567212510294473,0.9209225700164745
1103.png,H1,H2,False,0.0005313000099995691,0.9772727272727273
1107.png,H0,H1,False,0.007655607118489116,0.9777777777777777
1107.png,H0,H2,False,0.019897206496505948,0.9555555555555556
1107.png,H1,H2,False,0.012241599378016832,0.9772727272727273
1111.png,H0,H1,False,0.0,1.0
1111.png,H0,H2,False,0.07696161063249674,0.90625
1111.png,H1,H2,False,0.07696161063249674,0.90625
1113.png,H0,H1,False,0.003952406835938449,0.9545454545454546
1113.png,H0,H2,False,0.0,1.0
1113.png,H1,H2,False,0.003952406835938449,0.9545454545454546
1114.png,H0,H1,False,0.0,1.0
1114.png,H0,H2,False,0.0,1.0
1114.png,H1,H2,True,0.0,1.0
1118.png,H0,H1,False,6.423679192957277e-05,0.9302325581395349
1118.png,H0,H2,False,0.0005499094485589273,0.9317443120260022
1118.png,H1,H2,False,0.00048567265662935455,0.9545454545454546
1120.png,H0,H1,False,0.0001163567374559138,0.9846153846153847
1120.png,H0,H2,False,0.0018878725178816946,0.9127011297500855
1120.png,H1,H2,False,0.0017715157804257808,0.9274221157137966
1123.png,H0,H1,False,0.0,1.0
1123.png,H0,H2,False,0.0023100054802296377,0.9437689969604863
1123.png,H1,H2,False,0.0023100054802296377,0.9437689969604863
1124.png,H0,H1,False,0.012414243711205489,0.2784602784602785
1124.png,H0,H2,False,0.012096774193548387,0.2620802620802621
1124.png,H1,H2,False,0.000317469517657102,0.9411764705882353
1125.png,H0,H1,False,0.006237568737568755,0.9655172413793104
1125.png,H0,H2,False,0.008549280956401728,0.8931034482758621
1125.png,H1,H2,False,0.002311712218832973,0.925
1126.png,H0,H1,False,0.007964917125530713,0.9527065527065527
1126.png,H0,H2,False,0.007964917125530713,0.9527065527065527
1126.png,H1,H2,True,0.0,1.0
1130.png,H0,H1,False,5.575910291766295e-05,0.972972972972973
1130.png,H0,H2,False,5.575910291766295e-05,0.972972972972973
1130.png,H1,H2,True,0.0,1.0
1134.png,H0,H1,False,0.003710994990122507,0.9642857142857143
1134.png,H0,H2,False,0.0015386296718360448,0.9310344827586207
1134.png,H1,H2,False,0.002172365318286462,0.9642857142857143
1137.png,H0,H1,False,0.1968134327417589,0.9523809523809523
1137.png,H0,H2,False,0.1968134327417589,0.9523809523809523
1137.png,H1,H2,True,0.0,1.0
1138.png,H0,H1,False,0.012093788273638717,0.9696969696969697
1138.png,H0,H2,False,0.023645364697473248,0.9202614379084967
1138.png,H1,H2,False,0.011551576423834531,0.9490196078431372
114.png,H0,H1,False,0.0,1.0
114.png,H0,H2,False,3.6659112094938884e-05,0.9393939393939394
114.png,H1,H2,False,3.6659112094938884e-05,0.9393939393939394
1140.png,H0,H1,False,0.0061115480462970995,0.972972972972973
1140.png,H0,H2,False,0.0061115480462970995,0.972972972972973
1140.png,H1,H2,True,0.0,1.0
1144.png,H0,H1,False,0.0,1.0
1144.png,H0,H2,False,0.0,1.0
1144.png,H1,H2,True,0.0,1.0
1146.png,H0,H1,False,0.0,1.0
1146.png,H0,H2,False,0.0,1.0
1146.png,H1,H2,True,0.0,1.0
1148.png,H0,H1,False,0.0,1.0
1148.png,H0,H2,False,0.0,1.0
1148.png,H1,H2,False,0.0,1.0
1149.png,H0,H1,False,0.121714019731744,0.7899686520376176
1149.png,H0,H2,False,0.0007799092747444725,0.9545454545454546
1149.png,H1,H2,False,0.12093411045699953,0.8275862068965517
1150.png,H0,H1,False,0.018158941173288645,0.9375
1150.png,H0,H2,False,0.017501262778023885,0.7737104825291181
1150.png,H1,H2,False,0.0006576783952647602,0.8157894736842105
1156.png,H0,H1,False,0.09533280381737969,0.868663594470046
1156.png,H0,H2,False,0.09283016094234692,0.7854166666666667
1156.png,H1,H2,False,0.002502642875032768,0.9041666666666667
1160.png,H0,H1,False,0.12116561003958837,0.4601514605120808
1160.png,H0,H2,False,0.12074015736410759,0.4125495852866931
1160.png,H1,H2,False,0.00042545267548077526,0.858678955453149
1163.png,H0,H1,False,0.0,1.0
1163.png,H0,H2,False,0.0,1.0
1163.png,H1,H2,True,0.0,1.0
1165.png,H0,H1,False,0.001333244614183049,0.9510086455331412
1165.png,H0,H2,False,0.001333244614183049,0.9510086455331412
1165.png,H1,H2,True,0.0,1.0
1169.png,H0,H1,False,0.0,1.0
1169.png,H0,H2,False,0.0,1.0
1169.png,H1,H2,False,0.0,1.0
117.png,H0,H1,False,0.0,1.0
117.png,H0,H2,False,0.00013688604223582868,0.9555555555555556
117.png,H1,H2,False,0.00013688604223582868,0.9555555555555556
1170.png,H0,H1,False,0.0,1.0
1170.png,H0,H2,False,0.009011436835634767,0.8724637681159421
1170.png,H1,H2,False,0.009011436835634767,0.8724637681159421
1177.png,H0,H1,False,0.0003826000793080153,0.975609756097561
1177.png,H0,H2,False,0.0008424247358518322,0.8665183537263627
1177.png,H1,H2,False,0.0004598246565438169,0.8471995649809679
1178.png,H0,H1,False,0.07834415857061014,0.967741935483871
1178.png,H0,H2,False,0.07834415857061014,0.967741935483871
1178.png,H1,H2,False,0.0,1.0
1179.png,H0,H1,False,0.0,0.9555555555555556
1179.png,H0,H2,False,0.0,0.9347826086956522
1179.png,H1,H2,False,0.0,0.9782608695652174
1189.png,H0,H1,False,0.0,1.0
1189.png,H0,H2,False,0.0,1.0
1189.png,H1,H2,False,0.0,1.0
1192.png,H0,H1,False,0.002945678399032259,0.9091400757166036
1192.png,H0,H2,False,0.004101201220638617,0.8742316784869977
1192.png,H1,H2,False,0.007046879619670876,0.7947990543735225
121.png,H0,H1,False,0.0026480161987244566,0.6602870813397129
121.png,H0,H2,False,0.0024571599406238986,0.6507387613957875
121.png,H1,H2,False,0.00019085625810055795,0.9782608695652174
1211.png,H0,H1,False,0.0,1.0
1211.png,H0,H2,False,0.0,1.0
1211.png,H1,H2,True,0.0,1.0
122.png,H0,H1,False,0.0,1.0
122.png,H0,H2,False,6.521231489697854e-06,0.9767441860465116
122.png,H1,H2,False,6.521231489697854e-06,0.9767441860465116
1223.png,H0,H1,False,0.0005245015390707986,0.9354838709677419
1223.png,H0,H2,False,0.0038860497935516713,0.754054054054054
1223.png,H1,H2,False,0.00441055133262247,0.7054054054054054
1225.png,H0,H1,False,0.07758012313532725,0.9310344827586207
1225.png,H0,H2,False,0.07758012313532725,0.9310344827586207
1225.png,H1,H2,False,0.0,1.0
1239.png,H0,H1,False,0.0,1.0
1239.png,H0,H2,False,0.007413893999419052,0.8874458874458875
1239.png,H1,H2,False,0.007413893999419052,0.8874458874458875
124.png,H0,H1,False,0.0016283589936977316,0.9230769230769231
124.png,H0,H2,False,0.0016283589936977316,0.9230769230769231
124.png,H1,H2,True,0.0,1.0
1241.png,H0,H1,False,0.006479627192000459,0.9787234042553191
1241.png,H0,H2,False,0.0,1.0
1241.png,H1,H2,False,0.006479627192000459,0.9787234042553191
1243.png,H0,H1,False,0.0,1.0
1243.png,H0,H2,False,0.0,1.0
1243.png,H1,H2,False,0.0,1.0
1246.png,H0,H1,False,0.0,1.0
1246.png,H0,H2,False,0.0,1.0
1246.png,H1,H2,False,0.0,1.0
1247.png,H0,H1,False,0.0,1.0
1247.png,H0,H2,False,0.0,1.0
1247.png,H1,H2,False,0.0,1.0
1248.png,H0,H1,False,0.0,1.0
1248.png,H0,H2,False,0.0,1.0
1248.png,H1,H2,True,0.0,1.0
1249.png,H0,H1,False,0.0,1.0
1249.png,H0,H2,False,0.0,1.0
1249.png,H1,H2,True,0.0,1.0
1250.png,H0,H1,False,0.0,1.0
1250.png,H0,H2,False,0.0,1.0
1250.png,H1,H2,False,0.0,1.0
1251.png,H0,H1,False,0.0,1.0
1251.png,H0,H2,False,0.0,1.0
1251.png,H1,H2,True,0.0,1.0
1252.png,H0,H1,False,0.0,1.0
1252.png,H0,H2,False,0.0,1.0
1252.png,H1,H2,True,0.0,1.0
1253.png,H0,H1,False,0.0,1.0
1253.png,H0,H2,False,0.0,1.0
1253.png,H1,H2,True,0.0,1.0
1254.png,H0,H1,False,0.0,1.0
1254.png,H0,H2,False,0.011640211640211673,0.84
1254.png,H1,H2,False,0.011640211640211673,0.84
1267.png,H0,H1,False,0.0,0.9555555555555556
1267.png,H0,H2,False,0.0,0.9375
1267.png,H1,H2,False,0.0,0.8958333333333334
1273.png,H0,H1,False,0.0,1.0
1273.png,H0,H2,False,0.0,1.0
1273.png,H1,H2,True,0.0,1.0
1279.png,H0,H1,False,0.0,1.0
1279.png,H0,H2,False,0.05325212766769005,0.889922480620155
1279.png,H1,H2,False,0.05325212766769005,0.889922480620155
128.png,H0,H1,False,0.009002674509204223,0.9818181818181818
128.png,H0,H2,False,0.00686361771126931,0.9464285714285714
128.png,H1,H2,False,0.002139056797934913,0.9636363636363636
1280.png,H0,H1,False,0.0,1.0
1280.png,H0,H2,False,0.8217479854777295,0.0
1280.png,H1,H2,False,0.8217479854777295,0.0
1281.png,H0,H1,False,0.0008607073137261168,0.9777777777777777
1281.png,H0,H2,False,0.0008607073137261168,0.9777777777777777
1281.png,H1,H2,True,0.0,1.0
1282.png,H0,H1,False,0.004683646823510412,0.9666666666666667
1282.png,H0,H2,False,0.004683646823510412,0.9666666666666667
1282.png,H1,H2,True,0.0,1.0
1283.png,H0,H1,False,0.0,1.0
1283.png,H0,H2,False,0.0069934937961444454,0.8918518518518519
1283.png,H1,H2,False,0.0069934937961444454,0.8918518518518519
1293.png,H0,H1,False,0.002008404974173761,0.9523809523809523
1293.png,H0,H2,False,0.007789926535032299,0.9302325581395349
1293.png,H1,H2,False,0.005781521560858538,0.9767441860465116
13.png,H0,H1,False,0.0006902303610585303,0.9074074074074074
13.png,H0,H2,False,7.805509426028756e-06,0.98
13.png,H1,H2,False,0.0006980358704845591,0.9245283018867925
1309.png,H0,H1,False,0.0003212173589931533,0.9772727272727273
1309.png,H0,H2,False,0.000643131501845251,0.9333333333333333
1309.png,H1,H2,False,0.0009643488608384043,0.9121212121212121
131.png,H0,H1,False,0.0,1.0
131.png,H0,H2,False,0.0,0.9782608695652174
131.png,H1,H2,False,0.0,0.9782608695652174
1326.png,H0,H1,False,0.0,1.0
1326.png,H0,H2,False,0.0,1.0
1326.png,H1,H2,True,0.0,1.0
1331.png,H0,H1,False,0.004296608965561277,0.9767441860465116
1331.png,H0,H2,False,0.004296608965561277,0.9767441860465116
1331.png,H1,H2,True,0.0,1.0
1333.png,H0,H1,False,0.0010580154693601296,0.96875
1333.png,H0,H2,False,0.0010580154693601296,0.96875
1333.png,H1,H2,True,0.0,1.0
1334.png,H0,H1,False,0.0,1.0
1334.png,H0,H2,False,0.0,1.0
1334.png,H1,H2,True,0.0,1.0
1341.png,H0,H1,False,0.0004965515514889773,0.9565217391304348
1341.png,H0,H2,False,0.0004965515514889773,0.9565217391304348
1341.png,H1,H2,True,0.0,1.0
1345.png,H0,H1,False,0.00047011275689556875,0.9772727272727273
1345.png,H0,H2,False,0.00047011275689556875,0.9772727272727273
1345.png,H1,H2,True,0.0,1.0
1346.png,H0,H1,False,0.0,1.0
1346.png,H0,H2,False,0.023330079122972136,0.8843537414965986
1346.png,H1,H2,False,0.023330079122972136,0.8843537414965986
1353.png,H0,H1,False,0.0,1.0
1353.png,H0,H2,False,0.0014627209948987474,0.9328512396694215
1353.png,H1,H2,False,0.0014627209948987474,0.9328512396694215
1355.png,H0,H1,False,0.0,1.0
1355.png,H0,H2,False,0.0,1.0
1355.png,H1,H2,True,0.0,1.0
1361.png,H0,H1,False,0.006144851308057864,0.8583638583638583
1361.png,H0,H2,False,0.014126993171577285,0.8174418604651162
1361.png,H1,H2,False,0.00798214186351942,0.9523255813953488
1364.png,H0,H1,False,0.0,1.0
1364.png,H0,H2,False,0.0,1.0
1364.png,H1,H2,True,0.0,1.0
1365.png,H0,H1,False,9.116445265666684e-05,0.9518143961927424
1365.png,H0,H2,False,0.0041355234150788345,0.848989898989899
1365.png,H1,H2,False,0.004226687867735501,0.8080808080808081
1367.png,H0,H1,False,0.0,0.9722222222222222
1367.png,H0,H2,False,0.0,0.9722222222222222
1367.png,H1,H2,True,0.0,1.0
1368.png,H0,H1,False,0.0,1.0
1368.png,H0,H2,False,0.009559829373784745,0.84
1368.png,H1,H2,False,0.009559829373784745,0.84
1370.png,H0,H1,False,0.0,1.0
1370.png,H0,H2,False,0.0,1.0
1370.png,H1,H2,True,0.0,1.0
1371.png,H0,H1,False,0.0,1.0
1371.png,H0,H2,False,0.0,1.0
1371.png,H1,H2,True,0.0,1.0
1372.png,H0,H1,False,0.0,1.0
1372.png,H0,H2,False,0.0,1.0
1372.png,H1,H2,True,0.0,1.0
1373.png,H0,H1,False,0.0,1.0
1373.png,H0,H2,False,0.001344586980587592,0.96875
1373.png,H1,H2,False,0.001344586980587592,0.96875
1378.png,H0,H1,False,0.0,1.0
1378.png,H0,H2,False,0.0,1.0
1378.png,H1,H2,True,0.0,1.0
138.png,H0,H1,False,0.007199298645434338,0.9310344827586207
138.png,H0,H2,False,0.0,1.0
138.png,H1,H2,False,0.007199298645434338,0.9310344827586207
1380.png,H0,H1,False,0.006181171655654127,0.9772727272727273
1380.png,H0,H2,False,0.011737587948147055,0.8922610015174507
1380.png,H1,H2,False,0.017918759603801182,0.8724035608308606
1381.png,H0,H1,False,0.011859841371032132,0.9777777777777777
1381.png,H0,H2,False,0.01967772622217534,0.9555555555555556
1381.png,H1,H2,False,0.03153756759320747,0.9333333333333333
1384.png,H0,H1,False,0.0,1.0
1384.png,H0,H2,False,0.06323455738716455,0.9375
1384.png,H1,H2,False,0.06323455738716455,0.9375
1387.png,H0,H1,False,0.0,1.0
1387.png,H0,H2,False,0.0,1.0
1387.png,H1,H2,True,0.0,1.0
1388.png,H0,H1,False,0.0,1.0
1388.png,H0,H2,False,0.0010640881294567972,0.9444444444444444
1388.png,H1,H2,False,0.0010640881294567972,0.9444444444444444
1397.png,H0,H1,False,0.02206527110854206,0.9458858413639734
1397.png,H0,H2,False,0.017792281196234216,0.8833580980683506
1397.png,H1,H2,False,0.004272989912307845,0.9318181818181818
1398.png,H0,H1,False,0.001852098777579303,0.9772727272727273
1398.png,H0,H2,False,0.001852098777579303,0.9772727272727273
1398.png,H1,H2,True,0.0,1.0
1399.png,H0,H1,False,0.0,1.0
1399.png,H0,H2,False,0.0,1.0
1399.png,H1,H2,True,0.0,1.0
1401.png,H0,H1,False,0.0,1.0
1401.png,H0,H2,False,0.8444546709618039,0.0
1401.png,H1,H2,False,0.8444546709618039,0.0
1402.png,H0,H1,False,0.0015563333313450833,0.9490651192778853
1402.png,H0,H2,False,0.008811249357202677,0.9171195652173914
1402.png,H1,H2,False,0.01036758268854776,0.8704061895551257
1406.png,H0,H1,False,0.0,1.0
1406.png,H0,H2,False,0.1368158885782973,0.96875
1406.png,H1,H2,False,0.1368158885782973,0.96875
1407.png,H0,H1,False,0.0006663468201929534,0.9391495601173021
1407.png,H0,H2,False,0.0006663468201929534,0.9391495601173021
1407.png,H1,H2,True,0.0,1.0
1410.png,H0,H1,False,0.7229336437718277,0.2829537612146308
1410.png,H0,H2,False,0.7229336437718277,0.2709662716499544
1410.png,H1,H2,False,0.0,0.835820895522388
1411.png,H0,H1,False,0.0,1.0
1411.png,H0,H2,False,0.009227260310993413,0.9285714285714286
