auprc,auroc,sensitivity,specificity,flagged_fraction,retained_P14_mean_dice,retained_P14_failure_rate_lt_.10,flagged_P14_failure_rate_lt_.10,flagged_catastrophic_prevalence,retained_catastrophic_prevalence
0.39699449310638724,0.5753660637381567,0.8372093023255814,0.35802469135802467,0.7096774193548387,0.6872789848145548,0.08333333333333333,0.4318181818181818,0.4090909090909091,0.19444444444444445
0.3943663322361413,0.5497222222222222,0.7333333333333333,0.35,0.68,0.6153236367486865,0.25,0.4117647058823529,0.38823529411764707,0.3
0.39862536191894177,0.585075493612079,0.8536585365853658,0.4166666666666667,0.672,0.6043448742304867,0.1951219512195122,0.38095238095238093,0.4166666666666667,0.14634146341463414
0.3689216964825064,0.6100223964165733,0.7894736842105263,0.32978723404255317,0.7045454545454546,0.5537540134213441,0.28205128205128205,0.4838709677419355,0.3225806451612903,0.20512820512820512
0.5379348843305439,0.5803571428571429,0.8035714285714286,0.2692307692307692,0.7611940298507462,0.5719797642945856,0.28125,0.4117647058823529,0.4411764705882353,0.34375
0.4195445800142042,0.5891148325358851,0.7954545454545454,0.3157894736842105,0.725,0.5983295563179436,0.21212121212121213,0.40229885057471265,0.40229885057471265,0.2727272727272727
0.44831705166399116,0.5027388922702374,0.6981132075471698,0.3709677419354839,0.6608695652173913,0.6702308049121238,0.20512820512820512,0.2894736842105263,0.4868421052631579,0.41025641025641024
0.3439438818381948,0.5747408619749045,0.7948717948717948,0.3829787234042553,0.6691729323308271,0.6970857680212103,0.13636363636363635,0.39325842696629215,0.34831460674157305,0.18181818181818182
0.42792647977535203,0.6372618207480593,0.8269230769230769,0.41284403669724773,0.6645962732919255,0.5777876727918141,0.2777777777777778,0.38317757009345793,0.40186915887850466,0.16666666666666666
0.34425174309787165,0.48174986580783685,0.6739130434782609,0.30864197530864196,0.6850393700787402,0.5472287122827069,0.325,0.41379310344827586,0.3563218390804598,0.375
0.5262755001125246,0.6301369863013698,0.7058823529411765,0.4657534246575342,0.6048387096774194,0.6195958157226721,0.22448979591836735,0.24,0.48,0.30612244897959184
0.40874370727926107,0.570778564206269,0.717391304347826,0.3023255813953488,0.7045454545454546,0.5351121009447806,0.2564102564102564,0.3870967741935484,0.3548387096774194,0.3333333333333333
0.34731264145486546,0.6012482662968099,0.7857142857142857,0.3883495145631068,0.6620689655172414,0.5372782876354457,0.30612244897959184,0.4375,0.34375,0.1836734693877551
0.392524652023747,0.624031007751938,0.813953488372093,0.3229166666666667,0.7194244604316546,0.6080089654360414,0.20512820512820512,0.44,0.35,0.20512820512820512
0.3432438940041995,0.5997524752475247,0.8,0.43564356435643564,0.6312056737588653,0.6460101844818149,0.15384615384615385,0.4157303370786517,0.3595505617977528,0.15384615384615385
0.3891433705152883,0.5510715914272686,0.7254901960784313,0.38372093023255816,0.656934306569343,0.6705525088288207,0.19148936170212766,0.43333333333333335,0.4111111111111111,0.2978723404255319
0.3784655771542297,0.5673234811165846,0.7619047619047619,0.3333333333333333,0.6976744186046512,0.5960858008952007,0.23076923076923078,0.43333333333333335,0.35555555555555557,0.2564102564102564
0.23646475455496357,0.5001390047261607,0.696969696969697,0.3211009174311927,0.6830985915492958,0.6128801874833087,0.2222222222222222,0.5360824742268041,0.23711340206185566,0.2222222222222222
0.24976462030596655,0.55,0.8857142857142857,0.2916666666666667,0.7483870967741936,0.48606531201986897,0.3076923076923077,0.5,0.2672413793103448,0.10256410256410256
0.28432874323726176,0.5588430851063829,0.78125,0.3617021276595745,0.6746031746031746,0.6971661030831576,0.14634146341463414,0.4,0.29411764705882354,0.17073170731707318
0.39911158770689154,0.5310869565217391,0.84,0.2608695652173913,0.7746478873239436,0.6338023037936902,0.1875,0.45454545454545453,0.38181818181818183,0.25
0.35312800853134524,0.5034636318654131,0.7659574468085106,0.29069767441860467,0.7293233082706767,0.5276802974930309,0.2777777777777778,0.4742268041237113,0.3711340206185567,0.3055555555555556
0.2781167790292193,0.5066964285714286,0.71875,0.30952380952380953,0.6982758620689655,0.6346245917294533,0.17142857142857143,0.41975308641975306,0.2839506172839506,0.2571428571428571
0.44213972972550464,0.5576707726763718,0.8085106382978723,0.3684210526315789,0.6991869918699187,0.6408385933734778,0.21621621621621623,0.4186046511627907,0.4418604651162791,0.24324324324324326
0.38869741550405085,0.6628056628056628,0.7837837837837838,0.4380952380952381,0.6197183098591549,0.5911185563025609,0.16666666666666666,0.4431818181818182,0.32954545454545453,0.14814814814814814
0.4688653846830855,0.6116780045351474,0.8367346938775511,0.4166666666666667,0.6859504132231405,0.7509315272487269,0.07894736842105263,0.37349397590361444,0.4939759036144578,0.21052631578947367
0.32675218821604857,0.5500338066260987,0.6764705882352942,0.39080459770114945,0.628099173553719,0.6842117942871879,0.15555555555555556,0.40789473684210525,0.3026315789473684,0.24444444444444444
0.23659313310530308,0.44787419918462434,0.6470588235294118,0.24752475247524752,0.725925925925926,0.5531853424637401,0.2702702702702703,0.5306122448979592,0.22448979591836735,0.32432432432432434
0.23888121207711113,0.4191729323308271,0.7105263157894737,0.30612244897959184,0.6985294117647058,0.6193029212669854,0.24390243902439024,0.4631578947368421,0.28421052631578947,0.2682926829268293
0.38292314625948753,0.6707350901525659,0.9142857142857143,0.34951456310679613,0.717391304347826,0.5594545867366474,0.2564102564102564,0.3838383838383838,0.32323232323232326,0.07692307692307693
0.4425573854807407,0.549696589244612,0.8135593220338984,0.38271604938271603,0.7,0.6525974733967402,0.21428571428571427,0.3469387755102041,0.4897959183673469,0.2619047619047619
0.3372616100489746,0.521594684385382,0.7674418604651163,0.34065934065934067,0.6940298507462687,0.5905979394297931,0.24390243902439024,0.40860215053763443,0.3548387096774194,0.24390243902439024
0.45999931433599633,0.6317401960784313,0.8627450980392157,0.375,0.7074829931972789,0.6388493397916404,0.16279069767441862,0.3173076923076923,0.4230769230769231,0.16279069767441862
0.31241291389589043,0.6177996177996178,0.8181818181818182,0.36036036036036034,0.6805555555555556,0.720205920680785,0.08695652173913043,0.5510204081632653,0.2755102040816326,0.13043478260869565
0.41520368559950915,0.6066666666666667,0.8,0.3333333333333333,0.704,0.6338644987595738,0.1891891891891892,0.3522727272727273,0.3181818181818182,0.1891891891891892
0.3541559301394775,0.5472972972972973,0.7567567567567568,0.3409090909090909,0.688,0.5754211797181573,0.2564102564102564,0.38372093023255816,0.32558139534883723,0.23076923076923078
0.4432819359445154,0.6117460317460318,0.8666666666666667,0.4,0.7043478260869566,0.7745454533530126,0.08823529411764706,0.345679012345679,0.48148148148148145,0.17647058823529413
0.42551127473750516,0.5363157894736842,0.7,0.39473684210526316,0.6428571428571429,0.47848393761787306,0.3333333333333333,0.38271604938271603,0.43209876543209874,0.3333333333333333
0.36613325565330146,0.6246913580246913,0.8055555555555556,0.4,0.6587301587301587,0.7040101827419906,0.11627906976744186,0.4457831325301205,0.3493975903614458,0.16279069767441862
0.4012107108729379,0.555640243902439,0.75,0.4024390243902439,0.6538461538461539,0.5664693206037816,0.26666666666666666,0.4,0.4235294117647059,0.26666666666666666
0.3989576512308851,0.6094657375145179,0.8095238095238095,0.35365853658536583,0.7016129032258065,0.5972934061884893,0.1891891891891892,0.4482758620689655,0.39080459770114945,0.21621621621621623
0.277468934188425,0.5419084461637653,0.7878787878787878,0.32978723404255317,0.7007874015748031,0.6285508042717368,0.23684210526315788,0.47191011235955055,0.29213483146067415,0.18421052631578946
0.3634360440768569,0.5099521289997481,0.7755102040816326,0.37037037037037035,0.6846153846153846,0.7101542991571057,0.14634146341463414,0.3595505617977528,0.42696629213483145,0.2682926829268293
0.29099664975558764,0.5902777777777778,0.9333333333333333,0.28125,0.7698412698412699,0.502750976378418,0.3448275862068966,0.5154639175257731,0.28865979381443296,0.06896551724137931
0.4078382740578908,0.5574548907882242,0.7692307692307693,0.4074074074074074,0.6616541353383458,0.5886386217854962,0.2222222222222222,0.42045454545454547,0.45454545454545453,0.26666666666666666
0.3636670096430836,0.5562851782363978,0.7435897435897436,0.3780487804878049,0.6611570247933884,0.6697345006872502,0.14634146341463414,0.425,0.3625,0.24390243902439024
0.3257612737756803,0.5111283643892339,0.7380952380952381,0.30434782608695654,0.7089552238805971,0.648746165465378,0.20512820512820512,0.47368421052631576,0.3263157894736842,0.28205128205128205
0.36862650960064,0.5072590011614402,0.6428571428571429,0.3048780487804878,0.6774193548387096,0.5927013826644387,0.25,0.47619047619047616,0.32142857142857145,0.375
0.3651588195624391,0.5937653411880216,0.8095238095238095,0.3711340206185567,0.6834532374100719,0.6028016611552202,0.20454545454545456,0.45263157894736844,0.35789473684210527,0.18181818181818182
0.31490650400370335,0.5088848039215687,0.78125,0.22549019607843138,0.7761194029850746,0.5969234027123711,0.3,0.5,0.2403846153846154,0.23333333333333334
