filename,risk_region,frozen_risk,comparison,prompt1,prompt2,seed1,seed2,heatmap_mae,heatmap_corr_distance,box_instability
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P02,P20,56,56,0.007896451279520988,0.024749977049944083,0.07294832826747721
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P04,56,56,0.03402454033493996,0.17105598658980847,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P05,56,56,0.01453897450119257,0.06789527573653342,0.05476900149031294
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P06,56,56,0.011105341836810112,0.04352012593112076,0.13861386138613863
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P07,56,56,0.02652844414114952,0.14191431983094693,0.5531135531135531
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P08,56,56,0.010357430204749107,0.027884257971413806,0.15486884656845135
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P09,56,56,0.020204590633511543,0.06671443623068696,0.3073639274279616
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P10,56,56,0.013430532068014145,0.04353340030784836,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P11,56,56,0.018750552088022232,0.1299779971133398,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P12,56,56,0.013343713246285915,0.06571817030045413,0.15025553662691649
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P13,56,56,0.012018394656479359,0.03894087194843421,0.09354947652819989
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P14,56,56,0.013532622717320919,0.03953895886907055,0.09262495630898282
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P15,56,56,0.02522403560578823,0.1722341593260559,0.3789473684210526
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P16,56,56,0.01416117325425148,0.06564789470894472,0.07384403036576948
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P17,56,56,0.023043163120746613,0.102471926519484,0.22085470085470083
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P18,56,56,0.01352620217949152,0.06334577355311466,0.31173184357541894
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P19,56,56,0.018849102780222893,0.12170692851161602,0.2880636604774536
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P03,P20,56,56,0.012283001095056534,0.039438930797284666,0.09354947652819989
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P05,56,56,0.03543804958462715,0.13916876983846005,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P06,56,56,0.035213321447372437,0.15082881980106733,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P07,56,56,0.017919115722179413,0.06364722368995379,0.9596814335490294
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P08,56,56,0.03514646738767624,0.1466949502908822,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P09,56,56,0.02438082918524742,0.11137417763263169,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P10,56,56,0.03930383548140526,0.21572136957522192,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P11,56,56,0.03670697659254074,0.20168126428931377,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P12,56,56,0.030770694836974144,0.11298335016827332,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P13,56,56,0.034579452127218246,0.13631650229173975,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P14,56,56,0.038777634501457214,0.17695075786935843,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P15,56,56,0.01828300766646862,0.03746858601229297,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P16,56,56,0.03159049153327942,0.12669132371004999,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P17,56,56,0.02204498089849949,0.07749477127391735,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P18,56,56,0.03582277148962021,0.18318864343753416,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P19,56,56,0.021100804209709167,0.044962658480450446,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P04,P20,56,56,0.028150878846645355,0.111273120717586,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P06,56,56,0.012099986895918846,0.06538122572997851,0.1317999269806499
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P07,56,56,0.02473263442516327,0.11125924368618034,0.5775890775890775
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P08,56,56,0.0099073126912117,0.054247226259290016,0.1471025260029718
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P09,56,56,0.025453364476561546,0.08093405337131865,0.30683060109289617
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P10,56,56,0.008874475955963135,0.03614430287960724,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P11,56,56,0.008046604692935944,0.030188762377799883,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P12,56,56,0.011231829412281513,0.0625823971003957,0.1440618411806044
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P13,56,56,0.007449480704963207,0.025307741695160146,0.14319486659912195
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P14,56,56,0.007694902364164591,0.0276942718087968,0.142707240293809
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P15,56,56,0.023981014266610146,0.17118650937631008,0.3800097751710655
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P16,56,56,0.006906972266733646,0.012275208665671444,0.1245686680469289
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P17,56,56,0.027697915211319923,0.1555913465469967,0.21370540445072417
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P18,56,56,0.010789873078465462,0.052033276695024444,0.30983089710518774
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P19,56,56,0.019671639427542686,0.12165339394328023,0.32705570291777186
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P05,P20,56,56,0.01365695707499981,0.03920627259228604,0.14319486659912195
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P07,56,56,0.024639170616865158,0.11481464761113103,0.5704295704295704
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P08,56,56,0.011231071315705776,0.05801050896829685,0.050000000000000044
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P09,56,56,0.020550454035401344,0.0440494888934716,0.3148798271671618
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P10,56,56,0.0144331781193614,0.10745067020257049,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P11,56,56,0.014428970403969288,0.12816375822367232,1.0
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P12,56,56,0.006036610808223486,0.01052753204314516,0.060109289617486295
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P13,56,56,0.011392983607947826,0.042762750585308984,0.12867274569402232
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P14,56,56,0.011370842345058918,0.055783740794143055,0.18234295415959256
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P15,56,56,0.023601669818162918,0.11877523627351094,0.36950146627565983
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P16,56,56,0.012275700457394123,0.05155988293803149,0.17400000000000004
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P17,56,56,0.025124860927462578,0.10951128216630979,0.13528336380255945
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P18,56,56,0.010174202732741833,0.04453694258617413,0.34448160535117056
2338_pid-MR051461_glioma.png,MIDDLE,0.3387223861264504,language,P06,P19,56,56,0.020938178524374962,0.13975266507726147,0.31564986737400536
