prompt1,prompt2,text_cosine_similarity,text_cosine_distance,text_euclidean_normalized,heatmap_mae_mean,heatmap_corr_distance_mean,box_instability_mean,n_observations,text_distance_quartile
P03,P20,0.9299912452697754,0.07000875473022461,0.37418895959854126,0.01323570844251658,0.06513312498938752,0.3371675159844811,60,Q3
P04,P05,0.9208909869194031,0.07910901308059692,0.3977662920951843,0.018341676169075026,0.10307281601406201,0.40566658591112237,60,Q3
P04,P06,0.8859527707099915,0.11404722929000854,0.47759246826171875,0.02004575431346889,0.122168177929814,0.46970883952983056,60,Q4_farthest
P04,P07,0.9243537187576294,0.0756462812423706,0.38896358013153076,0.013680967603189206,0.0663189811931662,0.45483002535396455,60,Q3
P04,P08,0.9163765907287598,0.08362340927124023,0.4089582860469818,0.01842077667824919,0.0975677594334137,0.3596871594894895,60,Q3
P04,P09,0.8910024166107178,0.10899758338928223,0.4668996334075928,0.016668599758607586,0.09672231347000383,0.38185459057689664,60,Q4_farthest
P04,P10,0.8582072257995605,0.14179277420043945,0.5325275659561157,0.021847714150013974,0.16365738837858235,0.4885329357769017,60,Q4_farthest
P04,P11,0.8883965015411377,0.1116034984588623,0.47244793176651,0.02092568265118942,0.14668032077574175,0.5325925227159415,60,Q4_farthest
P04,P12,0.8967376947402954,0.10326230525970459,0.45444995164871216,0.016941134422086127,0.10164443495070512,0.31789117027884367,60,Q4_farthest
P04,P13,0.9484246969223022,0.051575303077697754,0.3211708068847656,0.01613369020633395,0.07263868250758447,0.46283701593777227,60,Q2
P04,P14,0.9030442237854004,0.09695577621459961,0.4403538703918457,0.02161241803939139,0.1348356321080056,0.4038446385286255,60,Q4_farthest
P04,P15,0.9409736394882202,0.059026360511779785,0.3435879945755005,0.013988904491998206,0.05600866254952486,0.46349773563825075,60,Q2
P04,P16,0.9251812696456909,0.07481873035430908,0.3868299424648285,0.017673302014979176,0.09885884553864832,0.4569564595378816,60,Q3
P04,P17,0.9083629846572876,0.0916370153427124,0.4281051456928253,0.014448413792221447,0.07288136333697488,0.46242290138259423,60,Q3
P04,P18,0.8893088102340698,0.11069118976593018,0.4705127477645874,0.021321992102699926,0.13896756082535106,0.4146416901509795,60,Q4_farthest
P04,P19,0.9690867066383362,0.03091329336166382,0.248649463057518,0.012568544014356977,0.05316113025477473,0.31806692154833355,60,Q1_nearest
P04,P20,0.9409348368644714,0.059065163135528564,0.3437008857727051,0.016279163273672216,0.08715488783438938,0.43371869773570926,60,Q2
P05,P06,0.9272795915603638,0.07272040843963623,0.38136714696884155,0.013989605510141657,0.08523683647280506,0.41758021219146924,60,Q3
