filename,risk_region,frozen_risk,prompt_id,seed_a,seed_b,box_iou,instability_1_minus_iou
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,12,34,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,12,45,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,12,56,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,23,34,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,23,45,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,23,56,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P14,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,12,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,12,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,23,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,34,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P15,45,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,12,34,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,12,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,23,34,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,23,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,23,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,34,45,0.8989298454221165,0.10107015457788349
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,34,56,0.8989298454221165,0.10107015457788349
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P16,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,12,23,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,12,45,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,12,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,23,34,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,34,45,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,34,56,0.9666666666666667,0.033333333333333326
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P17,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,23,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P18,45,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,12,23,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,23,34,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,23,45,0.9333333333333333,0.06666666666666665
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,23,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P19,45,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P20,12,23,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P20,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P20,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P20,12,56,0.9655172413793104,0.03448275862068961
