case,mean_pairwise_box_iou,risk_1_minus_mean_pairwise_iou
1774,0.9272120188905393,0.07278798110946072
1776,0.7722097878137953,0.22779021218620465
1789,1.0,0.0
1796,0.7676094687676238,0.23239053123237619
1798,0.6990663563660064,0.30093364363399355
1807,0.9322834138486313,0.06771658615136866
1816,0.9570370370370368,0.0429629629629632
1824,0.9165761383851156,0.08342386161488435
1825,0.9214627693034037,0.07853723069659635
1826,0.9265575325864274,0.07344246741357263
1827,0.7051069691934871,0.29489303080651286
1829,0.8584241371808531,0.1415758628191469
183,0.9243686868686868,0.07563131313131322
1834,0.7996903624597907,0.20030963754020925
1835,0.924818195186885,0.07518180481311498
1843,0.9146666666666666,0.08533333333333337
1847,0.8702770631264279,0.12972293687357206
1852,0.965675782798256,0.034324217201743945
1853,0.5916311893383823,0.4083688106616177
1858,0.8819250704616697,0.11807492953833032
1863,0.9459918803540968,0.05400811964590324
1869,0.8343024105964498,0.16569758940355017
1879,0.9482249023271616,0.05177509767283839
1880,0.9766830870279145,0.02331691297208549
1882,0.8920478518167433,0.10795214818325671
1886,0.9685483870967742,0.031451612903225845
1890,0.7376599344559883,0.2623400655440117
1894,0.8428950298485242,0.15710497015147584
1900,0.8614146859294076,0.13858531407059238
1901,0.9161929283883562,0.0838070716116438
1902,0.8118712536892025,0.18812874631079746
1910,0.8386315540485432,0.16136844595145683
1911,0.9556084026952043,0.044391597304795694
1917,0.8795190139528203,0.12048098604717972
1933,0.31118117713531945,0.6888188228646805
1941,0.8069935992042254,0.19300640079577458
1949,0.8346326803746477,0.16536731962535234
1950,0.9600000000000001,0.039999999999999925
1951,0.9355303030303029,0.06446969696969707
1955,0.9274860515748512,0.0725139484251488
1957,0.9878787878787877,0.01212121212121231
1978,0.8006698178062553,0.19933018219374465
198,0.8784986941656096,0.12150130583439045
1981,0.8501444553057455,0.14985554469425455
1984,0.9757037037037037,0.02429629629629626
1986,0.9833333333333333,0.01666666666666672
1988,0.8554261830123899,0.14457381698761007
2002,0.9411237618352957,0.05887623816470433
2003,0.7303140608304174,0.2696859391695826
2006,0.8770443234744313,0.12295567652556871
2007,0.958323357280477,0.04167664271952298
2008,0.8366275419427833,0.16337245805721667
2009,0.960815691484756,0.039184308515244015
2014,0.7564434011806693,0.24355659881933067
2026,0.6039711295146079,0.39602887048539215
2029,0.8821644445407109,0.11783555545928914
2031,0.8305741675026267,0.1694258324973733
2039,0.8830127404532557,0.11698725954674427
2055,0.9316435399321616,0.06835646006783835
2062,0.9777082259346028,0.022291774065397174
2064,0.9259887494777351,0.07401125052226487
2065,0.9738958549161101,0.026104145083889918
2066,0.8087171007303292,0.1912828992696708
2075,0.4263482880634989,0.5736517119365011
2076,0.4325386833213577,0.5674613166786423
2082,0.9237839675710879,0.07621603242891206
2108,0.9125102473663255,0.08748975263367453
211,0.9426386552577765,0.05736134474222354
2110,0.952544904597328,0.04745509540267201
2118,0.9153046594982079,0.08469534050179206
2127,0.8259131158351567,0.1740868841648433
2136,0.9447154678130848,0.0552845321869152
2137,0.7999412912362207,0.2000587087637793
2148,0.9427882201448611,0.05721177985513892
217,0.9473040425406899,0.052695957459310105
2170,0.9488449260752688,0.051155073924731176
2176,0.8987294184300958,0.1012705815699042
2178,0.624514626064866,0.37548537393513404
2182,0.9746710864425944,0.02532891355740563
2188,0.8469599097579729,0.15304009024202714
2208,0.8855172178726604,0.11448278212733964
2211,0.8219855986236804,0.17801440137631963
2213,0.35863405340773513,0.6413659465922649
2214,0.9218919799564962,0.07810802004350381
2221,0.877453533243878,0.12254646675612202
2226,0.901638801259431,0.09836119874056903
2227,0.8147461782225381,0.18525382177746186
223,0.7675643226986945,0.23243567730130554
2237,0.9072521762176932,0.09274782378230684
2241,0.8483375629479132,0.15166243705208682
2244,0.9352257812244733,0.06477421877552669
2245,0.9046253423888356,0.09537465761116437
2246,0.9880952380952379,0.011904761904762085
2248,0.949347137448814,0.05065286255118595
2259,0.8385843085407733,0.16141569145922674
2272,0.8365537025421913,0.1634462974578087
2277,0.8489503202525189,0.15104967974748107
2278,0.7177177177177179,0.28228228228228214
228,0.7104390358060477,0.2895609641939523
2293,0.7095763130990144,0.29042368690098563
2326,0.8688218585621712,0.1311781414378288
233,0.9197602895292908,0.08023971047070921
234,0.8402402276581346,0.15975977234186545
2344,0.690768683318332,0.30923131668166803
2353,0.7696509014356674,0.2303490985643326
2364,0.8762914283457032,0.12370857165429683
238,0.8697416818257815,0.1302583181742185
2384,0.9544703992089975,0.045529600791002545
2386,0.9554854007298292,0.04451459927017076
2388,0.8070549199880189,0.19294508001198107
2389,0.5819648197402764,0.41803518025972364
2392,0.7615114087129492,0.2384885912870508
2395,0.702078213376844,0.29792178662315605
2399,0.6840535829786627,0.3159464170213373
2400,0.8902790846063199,0.10972091539368012
2401,0.7866746746082905,0.21332532539170945
2406,0.9326238179405163,0.0673761820594837
2423,0.9173954470965225,0.08260455290347746
2424,0.844151074912899,0.15584892508710102
2430,0.9096324735464149,0.09036752645358515
2442,0.8502440925932749,0.14975590740672506
2459,0.8207807117113889,0.1792192882886111
246,0.9892473118279571,0.01075268817204289
2472,0.8955368567596714,0.10446314324032857
2474,0.8061090543353389,0.19389094566466114
2486,0.8527966471809347,0.14720335281906527
2489,0.6824435510346486,0.3175564489653514
25,0.9188632357137034,0.08113676428629657
2503,0.8891029020444584,0.11089709795554159
2504,0.5871317112792478,0.4128682887207522
2511,0.8733008396237688,0.1266991603762312
2520,0.9272893030650329,0.07271069693496712
2522,0.8917734777018876,0.10822652229811236
2523,0.6754427426805283,0.3245572573194717
2532,0.7034785436942406,0.29652145630575943
2533,0.8958387915847986,0.10416120841520138
2537,0.7754139599992853,0.2245860400007147
2542,0.7497080859286708,0.2502919140713292
2545,0.8562080206366584,0.14379197936334165
2555,0.3193711289797821,0.680628871020218
2556,0.9036298237762591,0.09637017622374089
2557,0.9110165605477636,0.08898343945223641
256,0.9164378586550495,0.08356214134495055
2565,0.707998249874493,0.292001750125507
2575,0.9615673806768189,0.038432619323181094
2577,0.8031677883651234,0.19683221163487663
2581,0.8163752053732151,0.18362479462678494
2582,0.8409257245995021,0.1590742754004979
2589,0.8872372365968808,0.11276276340311919
2590,0.9428571428571431,0.05714285714285694
2591,0.8916190481159763,0.10838095188402375
2592,0.958853046594982,0.04114695340501795
2593,0.9579488016906007,0.042051198309399296
2594,0.8450264951523861,0.15497350484761385
2602,0.6036299639083003,0.39637003609169974
2605,0.4324198140385782,0.5675801859614218
2608,0.9110854473769444,0.08891455262305559
2609,0.6574261784892587,0.34257382151074134
262,0.937141593682125,0.06285840631787498
2623,0.7367499185402413,0.2632500814597587
263,0.9350216176652283,0.06497838233477171
2656,0.7970592456899107,0.2029407543100893
2660,0.9323257191588586,0.06767428084114135
2680,0.8812753036437245,0.11872469635627547
2685,0.8844528492306493,0.11554715076935074
2701,0.9346947998473328,0.06530520015266716
2703,0.8600258727917179,0.13997412720828206
2705,0.8047603504998377,0.19523964950016226
2706,0.8165426260449388,0.18345737395506123
2716,0.5809475745448321,0.41905242545516785
2720,0.7720993020562525,0.22790069794374745
2721,0.6858369987723947,0.3141630012276053
2723,0.9387169950524351,0.06128300494756489
2740,0.66040914535052,0.33959085464948
2752,0.9284775118510813,0.0715224881489187
2754,0.9318487665774279,0.06815123342257212
2766,0.9722075505457148,0.027792449454285162
2768,0.8372508809784683,0.16274911902153166
2771,0.8827853866209835,0.11721461337901651
2781,0.9115465608872725,0.08845343911272752
