case,gt_voxels,dice_P0,voxels_P0,dice_P1,voxels_P1,dice_P2,voxels_P2,dice_P3,voxels_P3,range_dice,mean_abs_vs_P0,oracle_dice,oracle_gain_over_P0,best_prompt
CT_AMOS_amos_0135.npz,349844,0.9083339727762807,314797,0.9080964250021072,314548,0.9083588853214736,314814,0.9082405345211582,314676,0.0002624603193663866,0.00011863285816297402,0.9083588853214736,2.4912545192878888e-05,P2
CT_AMOS_amos_0137.npz,250729,0.9114078151147206,253627,0.9113856845416743,254054,0.9112198407353116,254091,0.9114029940689524,253735,0.00018797437940898387,7.164199940778992e-05,0.9114078151147206,0.0,P0
CT_AMOS_amos_0152.npz,334008,0.9286199200429514,342105,0.9285323248374658,341850,0.9285856852021875,342369,0.9284340756869335,342040,0.00018584435601787241,0.00010255813408906651,0.9286199200429514,0.0,P0
CT_AMOS_amos_0158.npz,555441,0.9342347466246032,515322,0.9342473889461652,515391,0.934281757404777,515388,0.9342054018311197,515270,7.635557365737178e-05,2.9665965073144562e-05,0.934281757404777,4.701078017388394e-05,P2
CT_AMOS_amos_0214.npz,1161323,0.9322581859614337,1149554,0.9320522867106269,1149704,0.9321139790322734,1150611,0.9321834768057599,1149574,0.00020589925080682914,0.00014160511188032743,0.9322581859614337,0.0,P0
CT_AMOS_amos_0230.npz,1182327,0.9382544173383868,1159298,0.9381886780201444,1158571,0.9382182165424477,1159237,0.9382490486745506,1159143,6.573931824238599e-05,3.576959267252248e-05,0.9382544173383868,0.0,P0
CT_AMOS_amos_0249.npz,1241242,0.9172359754730438,1318880,0.9171530694664086,1317851,0.9169902994134974,1319531,0.9172173669772052,1318075,0.0002456760595463958,0.00011573018734004996,0.9172359754730438,0.0,P0
CT_AMOS_amos_0287.npz,1230638,0.9314559814745896,1187662,0.9313520394869084,1187176,0.931537510971354,1188161,0.9314152247217496,1187508,0.00018547148444558736,7.540941242852502e-05,0.931537510971354,8.152949676432097e-05,P2
CT_AMOS_amos_0301.npz,1151562,0.8232318156980725,1395910,0.8238941515173989,1396911,0.8230914464510878,1396585,0.8228419029689767,1398138,0.001052248548422119,0.00039753926513560095,0.8238941515173989,0.0006623358193263984,P1
CT_AMOS_amos_0310.npz,1337013,0.8642315845783997,1126778,0.8644724340192609,1127873,0.8645935852969455,1128978,0.8643648909481242,1127548,0.0003620007185458629,0.0002453855097105384,0.8645935852969455,0.0003620007185458629,P2
CT_AMOS_amos_0313.npz,1694088,0.9097900114098673,1665285,0.9097970445415513,1663496,0.9096024902432832,1665905,0.9095590847198936,1664403,0.00023795982165775165,0.00014182699608059993,0.9097970445415513,7.033131684042182e-06,P1
CT_AMOS_amos_0364.npz,1419294,0.9145453865483727,1361574,0.9143458114184244,1360967,0.9145612694148701,1362208,0.9144025662222187,1361759,0.0002154579964457337,0.00011942610753323812,0.9145612694148701,1.5882866497451964e-05,P2
CT_AMOS_amos_0374.npz,694381,0.9027720210693072,661525,0.9023898727382259,661800,0.9032950001915184,663191,0.9027414060500758,661602,0.0009051274532925202,0.00031191415750797535,0.9032950001915184,0.0005229791222112201,P2
CT_AMOS_amos_0385.npz,711315,0.9232401434118418,632786,0.9227989780969736,632061,0.9234642497482377,633207,0.9230265468812326,632421,0.0006652716512640655,0.00029295606062440527,0.9234642497482377,0.00022410633639591282,P2
CT_AMOS_amos_0390.npz,553657,0.9027316496635256,537808,0.902151590092742,538512,0.9027465349018402,538592,0.9026648690829026,538179,0.0005949448090981635,0.0002205751299070672,0.9027465349018402,1.4885238314610305e-05,P2
CT_AMOS_amos_0395.npz,1327878,0.9110551914923017,1176113,0.9108974248870465,1175585,0.911402157164869,1177262,0.9111640798801693,1176323,0.0005047322778225505,0.00020454022189671703,0.911402157164869,0.00034696567256731203,P2
CT_AMOS_amos_0398.npz,707461,0.9427111671797513,705886,0.9429625939679377,705787,0.942796891839523,706623,0.9428032870633086,705837,0.00025142678818634856,0.00014309044383842284,0.9429625939679377,0.00025142678818634856,P1
CT_AMOS_amos_0405.npz,866825,0.925532666973608,816450,0.9252636476150355,816198,0.9257889423362432,817075,0.9255184816941128,816841,0.0005252947212076586,0.00017982666690097293,0.9257889423362432,0.00025627536263517214,P2
